Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
RGL2_Ral guanine nucleotide dissociation stimulator-like 2,10.4157,9.0367,5.2445,4.1427,8.5481,7.4489,7.6268,7.8272,6.0619,7.3725,1.9483,0.4924,0.2546,6.0483,8.6201,9.6254,6.1352,7.6537,7.3784,12.4612,5.9559,6.6176,7.9095,9.1754,9.5916,5.1167,6.5494,9.9323,8.6699,6.544,8.3119,7.9054,1.8374,0.3248,9.4623,7.4976,11.1818,7.41,9.6455,11.2793,12.0343,6.3419,5.9783,5.7289,7.5183,8.7676,7.6735,4.9976,8.8573,11.4138,7.0084,7.5711,8.3537,2.1122
"RGMA;GN=;GN=_Repulsive guidance molecule A;Isoform of Q96B86, Isoform 2 of Repulsive guidance molecule A;Isoform of Q96B86, Isoform 3 of Repulsive guidance molecule A",0,0,0.4872,0.7521,0,1.0799,0,1.0654,0.86,0.4716,0.4799,0.2992,0.7397,0,0.592,0.9608,0,0.7014,0,0,0.55,0,0,0,0,0.964,0.62,0,0,0.8319,0,0.29,0.3881,0.228,0.9988,0.5474,0,0,0,1.3947,2.4815,0.6584,0,0,0.5961,1.4638,0.7296,0,0,1.2216,0,0,0.5607,0.7153
RGPD1;RGPD2_RANBP2-like and GRIP domain-containing protein 1;RANBP2-like and GRIP domain-containing protein 2,0,0,0,0,0,0,0,0,0,0,0,0.0155,0.0004,0.1377,0.1865,0,0,0.2716,0,0.5023,0,0,0.3371,0,0.2318,0,0.3255,0.33,0,0.2724,0,0.1442,0.1649,0.0837,0.3215,0.3299,0.3421,0.3209,0.4835,0.3309,0,0,0,0.3308,0,0.209,0.2371,0.2317,0.4838,0.4621,0.2263,0,0.2394,0.1724
"RGS10;GN=;GN=_Regulator of G-protein signaling 10;Isoform of O43665, Isoform 1 of Regulator of G-protein signaling 10;Isoform of O43665, Isoform 2 of Regulator of G-protein signaling 10",5.4675,5.8104,2.2264,2.1791,5.391,2.8847,4.6789,2.0394,0,3.4086,2.0071,0.492,0.4753,2.1485,3.7309,1.5517,4.4671,3.0114,1.9309,2.4382,2.7043,3.6083,2.6004,2.6329,3.0931,2.8549,1.2354,6.1256,1.9055,2.8019,4.7621,2.9779,1.2119,0.0589,4.6473,1.988,4.4087,1.8383,6.6058,3.6023,3.2421,3.5198,3.389,2.7763,1.9157,1.8992,3.6694,5.0531,5.1559,5.9611,4.1344,6.6705,3.9154,1.5551
"RGS3;GN=_Regulator of G-protein signaling 3;Isoform of P49796, Isoform 6 of Regulator of G-protein signaling 3",6.4371,5.4766,1.3884,1.012,1.0305,1.0962,0,1.4535,2.1863,2.2312,2.2004,0.6971,0.9426,2.6794,3.1125,3.2413,2.9432,3.0428,3.1043,2.8026,0.9697,0,3.8023,2.2674,4.36,1.358,1.3305,2.9104,2.7416,1.883,2.0174,2.4759,1.063,0.5397,3.2055,1.0191,3.0982,2.271,0,4.2843,3.2728,1.1377,0.9842,2.4354,3.7447,1.4736,1.8997,2.5969,2.6613,2.2974,2.1718,2.423,2.2765,1.0722
RHAG_Ammonium transporter Rh type A,0,6.5767,23.8672,37.5993,12.3273,45.6976,7.0266,33.1746,20.9994,20.8076,15.6569,0.2558,0.0785,6.3174,59.8428,38.7187,154.6414,42.43,16.1868,56.5146,1.4627,2.1262,27.23,34.208,19.6784,23.3502,38.1944,36.8426,40.1802,27.7937,3.9976,34.9842,34.5817,0.1798,64.2685,35.2227,139.7373,17.1641,23.4166,94.1197,61.5775,10.4189,9.7292,23.9868,40.5244,69.9808,33.1279,242.9174,9.8356,92.3483,55.1209,11.7668,57.5146,58.4477
RHBDD1_Rhomboid-related protein 4,5.4814,1.1487,5.4929,3.1797,4.3189,2.0305,2.2623,3.7766,3.8887,3.5088,1.5049,0.0067,0.0824,15.6256,3.5712,5.4078,2.8121,4.4758,14.9197,7.1394,4.8189,4.8206,8.038,4.7188,7.2626,5.3357,8.1264,9.1128,11.3923,7.3375,5.4288,7.2413,3.6017,0.0616,7.0339,6.6531,5.0736,6.1365,3.5746,6.9387,4.2533,0,6.9755,7.652,2.6273,1.5588,10.153,4.0969,10.9497,4.8253,6.2218,1.847,5.3651,2.8672
RHBDF1_Inactive rhomboid protein 1,0.8312,0.9192,0,0.3273,0,1.2017,0.2603,0,0.4083,0.4387,0.4458,0.1014,0.1305,0.5734,0.3287,0.478,0.5156,0.6605,0.5763,1.5451,0.5826,1.0622,0.6284,0.7344,0.7841,0.5052,0.4923,0.7448,0.8039,0.5239,0.5724,0.6729,0.2717,0.982,1.134,0.4871,0.9177,0.6047,1.0588,0.6663,0.9661,0,0.4284,0.5042,0.351,1.0041,0.7762,0.4472,0.6816,1.0271,0.8089,0.2125,0.6709,0.318
RHCE_Blood group Rh(CE) polypeptide,0,0,0.7572,0.6907,0,1.0854,0,1.0438,0.6545,0.4702,0.4686,0.073,0.0267,0,1.1948,0.6405,1.6987,1.2293,0.8005,2.7559,0,0,0.7625,0.9829,1.0337,0.5427,1.2785,1.5281,1.4388,0.9306,0.2888,0.9504,0.6908,0.1183,1.3848,0.9832,1.8911,1.0158,0.5538,1.768,1.6574,0,0,0.6776,1.0925,1.2094,1.0378,4.5789,1.0134,3.0146,1.6448,0.8477,1.3539,1.0675
RHD_Blood group Rh(D) polypeptide,9.908,18.4633,20.9991,25.6377,26.0477,23.4905,14.3201,18.1721,18.1889,19.4697,5.269,0.731,0.0964,10.4866,38.3365,24.6729,48.5205,18.1791,13.7994,28.3636,6.5894,11.2694,22.4879,20.0367,20.3653,16.9235,20.7587,20.5613,27.862,12.8188,11.5213,20.7529,10.3512,0.0866,25.9118,29.3916,68.2044,11.7576,15.3329,28.0014,30.8051,16.913,26.8581,18.9353,30.8615,35.4307,19.2661,70.3329,16.3419,21.2192,26.1647,30.6942,29.0235,16.0269
RHEB_GTP-binding protein Rheb,5.5067,7.7555,4.0607,3.8644,9.1679,5.6519,8.0825,6.8692,3.9184,6.0975,1.9731,0.6409,0.0445,4.9881,5.6456,8.674,7.1273,7.0644,4.8424,9.6685,4.9676,7.1549,5.7458,7.1142,8.7839,6.725,4.3581,5.7963,4.625,6.373,5.9156,6.4205,1.5161,0.0283,9.5323,7.0619,10.4283,5.5287,6.2506,7.698,9.7977,8.2894,4.376,10.4682,6.0816,8.6592,7.7427,6.2353,4.8787,14.2111,9.1773,8.7329,8.0639,2.4058
RHOA_Transforming protein RhoA,66.3114,119.9526,91.1593,95.4947,75.5385,75.4559,87.0252,102.4251,105.1252,90.9431,16.9356,0.0444,0.1824,150.2574,83.3129,136.6219,79.3827,86.3918,146.4066,118.3752,101.0063,105.0271,93.594,127.8283,129.506,82.45,128.8545,127.1891,181.682,102.5052,67.5618,113.7752,29.8565,0.7673,98.6957,109.9064,149.2836,96.4762,49.3656,104.0592,85.9255,82.8936,112.8431,186.2401,84.3756,95.6047,132.1582,70.7389,209.5084,75.3232,122.2971,115.5731,110.0705,39.7666
RHOB_Rho-related GTP-binding protein RhoB,0,4.8844,3.0269,3.9836,3.0239,5.7292,3.2805,4.6591,2.7177,3.4784,1.6515,0.1537,0.8553,0,3.736,4.2104,1.6347,4.207,0,2.5495,2.0349,3.0946,2.9258,2.1673,3.5366,4.8483,2.7002,3.0475,1.9548,2.6537,1.9302,2.624,1.3011,0.1254,4.255,3.6085,1.6731,2.8828,5.3189,4.7652,6.8537,5.1253,0,1.5634,1.6547,7.5854,6.4179,0,2.0907,6.7972,2.9807,1.9663,3.641,2.3649
RHOC_Rho-related GTP-binding protein RhoC,11.9616,16.3987,4.7742,5.283,17.0282,6.4283,13.8085,5.4728,5.4101,9.6184,5.1388,0.1115,0.6271,4.4847,6.6071,6.2954,7.3897,5.4384,5.6061,8.3341,7.8262,16.1176,4.4601,3.0132,5.3888,6.0366,5.2905,7.2887,5.63,5.9463,14.08,6.9574,3.2455,0.0718,9.8378,6.209,6.3287,3.879,4.7438,5.7515,8.2913,19.9352,12.0914,8.6551,6.0134,9.147,8.3694,4.8223,8.6517,13.4688,6.0984,14.7047,8.7221,4.1069
RHOG_Rho-related GTP-binding protein RhoG,2.1532,2.1179,1.5262,2.2484,2.1128,1.9404,1.3138,2.0668,1.7034,1.9092,0.3219,0.0203,0.0021,2.1322,2.1939,2.9297,2.048,3.2462,1.7404,4.8124,2.159,2.8715,2.647,2.5446,2.2423,3.0492,2.3796,4.3777,1.882,2.2764,1.8201,2.6307,0.8357,0.0356,5.098,2.9062,4.1449,2.227,6.255,2.4355,2.5051,4.0441,2.1761,5.9824,2.3863,1.9778,3.4127,2.3483,3.0924,5.2351,2.8165,4.2409,3.5158,1.3708
"RHOJ;GN=_Rho-related GTP-binding protein RhoJ;Isoform of Q9H4E5, Isoform 2 of Rho-related GTP-binding protein RhoJ",0.4068,0.5928,0.2193,0.2126,0,0.3098,0.2206,0.2194,0.1827,0.2627,0.1641,0.0641,0.7248,0.1803,0.1389,0.2523,0,0,0.1076,0.23,0.2015,0.2426,0.3314,0.1539,0.1876,0.2181,0.1292,0.3281,0.1566,0,0.1084,0.1648,0.0992,0.0858,0.3249,0.2858,0,0.2757,0,0.2641,0.2498,0.1157,0.1332,0.3026,0.2791,0.3129,0.5688,0.0738,0.313,0.5045,0.3018,0,0.2392,0.1602
RHOQ_Rho-related GTP-binding protein RhoQ,2.342,2.2967,1.4528,1.5345,2.793,2.0431,1.9936,2.0133,1.1342,1.9559,0.5104,0.6262,0.7383,1.1136,1.2269,2.5132,1.3543,1.4756,1.6101,2.33,2.3991,3.4222,1.5847,0.896,2.1852,1.5925,1.8985,2.2529,1.8014,1.9145,1.5445,1.8397,0.6058,0.758,2.2573,1.4061,2.1523,1.075,1.1087,2.336,2.0731,2.5213,2.7038,1.5498,1.0493,1.6618,2.0573,1.4314,1.6792,2.8644,1.7483,2.1896,1.8814,0.5542
RHOT1_Mitochondrial Rho GTPase 1,12.3108,16.0661,10.5706,10.4251,10.4224,16.588,14.9639,9.9794,10.7797,12.4562,2.6734,0.3277,0.0035,10.4216,19.4049,13.4965,11.469,14.1668,10.8958,26.5375,10.6353,12.1004,17.0313,22.7472,16.4055,7.3146,11.1969,24.0852,10.7575,9.9758,10.5658,14.4004,5.487,0.0326,32.0109,15.9376,23.6218,14.8977,17.105,25.2686,25.1201,10.7925,13.4609,18.242,16.1777,11.4546,17.9264,14.644,16.7533,24.8387,23.1855,18.3002,18.8743,5.624
RHOT2_Mitochondrial Rho GTPase 2,4.7587,4.9284,2.5598,2.7745,2.9199,2.9874,3.3292,3.3198,2.9806,3.3954,0.8564,0.2494,0.0045,3.5615,3.9547,4.2386,2.9794,4.039,3.598,5.7024,3.2015,3.0704,4.3306,5.0342,5.1831,3.5694,2.7397,3.9432,2.9269,3.1343,3.2345,3.8023,0.84,0.002,7.7589,7.0165,6.1124,3.7121,8.7705,5.899,5.8495,2.6682,3.28,5.4774,4.2886,4.2892,5.9087,2.8422,4.5751,6.5182,5.5875,4.1453,5.2611,1.6763
"RIC8A;GN=_Synembryn-A;Isoform of Q9NPQ8, Isoform 4 of Synembryn-A",22.5677,20.0175,12.8204,12.4388,21.1577,14.8011,18.7605,16.7574,11.8497,16.7968,4.0282,0.1923,0.5229,9.5617,12.9751,13.7664,14.3921,12.3274,12.364,22.7804,16.1231,17.5469,14.9365,14.2078,16.0653,12.5629,13.1826,20.2652,15.6031,14.373,15.8892,14.9402,3.0501,0.008,20.9121,16.2676,18.798,12.8861,19.9262,19.0977,21.5438,13.5089,18.2968,14.0047,13.0833,19.9977,18.7713,14.93,19.103,21.2241,17.3347,18.3087,17.6664,2.8727
"RICTOR;GN=_Rapamycin-insensitive companion of mTOR;Isoform of Q6R327, Isoform 3 of Rapamycin-insensitive companion of mTOR",2.6326,0.3765,0,0,0,0,0,0,0,0.3344,0.8708,0.398,0.069,0.8704,0.9284,0.4978,0,0.5609,0.8955,0,0.648,0,1.503,0,1.1964,0.4892,0.7602,0,0.8058,0.8131,0,0.5538,0.4666,0.0842,0.5642,1.1105,1.6956,1.2457,1.6324,1.4044,0,0,0.8778,0.6767,1.2741,0.8832,2.7663,0,0,1.2602,0,2.2696,0.9811,0.8157
RIDA_2-iminobutanoate/2-iminopropanoate deaminase,4.9509,3.4754,21.0233,17.9672,3.9171,19.9569,3.607,22.6885,19.2091,12.9773,8.632,0.3896,0.8006,12.6048,26.0623,20.7167,13.2442,17.9503,15.9794,19.882,2.5701,4.9329,16.918,21.5242,15.2261,18.1506,13.954,31.8823,11.8799,16.6666,3.6509,15.7664,7.3816,0.1339,16.2031,16.8083,12.3655,17.1285,23.234,16.017,17.3789,4.2887,2.7357,12.6845,16.4709,14.7802,21.7117,7.3648,15.6928,14.9461,12.9186,3.6682,13.6888,5.7855
RILP_Rab-interacting lysosomal protein,31.6219,31.1465,19.6698,21.8867,22.2571,22.1663,34.1228,21.6126,22.9989,25.2758,5.4003,0.4983,0.0835,27.0356,22.1571,20.669,18.0978,18.697,28.547,32.2226,28.3432,26.681,28.9366,33.2221,32.2025,30.4923,18.8756,39.4412,25.859,23.2459,28.7542,26.86,5.7596,0.0934,29.154,23.9344,31.4349,27.197,29.473,36.5662,35.8527,16.1704,26.9821,26.2104,29.0213,21.2119,44.4932,22.9752,35.8923,38.0302,29.7726,36.598,30.0539,6.9457
RILPL1_RILP-like protein 1,5.006,3.7103,3.6661,3.7608,3.6793,4.0364,3.7303,5.2361,3.9995,4.0916,0.6014,0.0449,0.0024,3.3253,5.8832,3.0382,5.808,4.4553,7.1856,5.9561,3.8419,3.227,4.1385,4.8711,5.369,5.4462,5.425,6.2683,6.2132,6.8793,3.6383,5.0539,1.289,0.1729,7.1647,4.9116,5.1347,5.0842,7.56,6.6219,6.1677,3.5117,3.9217,4.5172,5.1029,4.5204,5.4852,4.4726,5.2529,7.0783,7.2413,6.0612,5.545,1.2082
RIMOC1_RAB7A-interacting MON1-CCZ1 complex subunit 1,2.1912,1.8566,1.0683,0.7363,1.6557,1.0997,0,1.1803,0.7661,1.1727,0.6601,0.0609,0.0432,1.2593,1.2514,1.2389,1.371,1.7582,1.6915,2.3012,0.9697,0.7958,1.742,1.6111,2.1797,1.7422,1.4703,2.338,1.9875,1.512,1.3234,1.5857,0.431,0.5217,2.4917,2.0301,1.9866,1.4673,1.232,2.295,2.3433,0.9404,1.0155,1.4644,1.3697,2.4745,1.3874,1.2333,1.4541,2.1288,1.4819,1.1753,1.6651,0.5162
RIN1_Ras and Rab interactor 1,1.5834,0.9993,1.3608,0.7274,1.1702,1.1332,0.9818,0.6252,0.743,1.036,0.3136,0.1465,0.0298,1.3269,0.6981,1.2509,0.6159,0.8957,1.0964,1.0677,2.1392,0.9217,1.8372,1.1935,1.4876,1.1431,1.3999,2.2251,2.0683,0.967,1.0882,1.3012,0.4796,0.0219,2.1762,5.0936,1.3807,0.8815,5.9515,1.3655,1.9179,1.6936,2.2094,2.5227,1.1427,5.596,1.8771,0.6484,2.5787,2.9223,0.6869,0.9965,2.3134,1.6329
"RIN3;GN=_Ras and Rab interactor 3;Isoform of Q8TB24, Isoform 4 of Ras and Rab interactor 3",0,0,0,0.7158,0,0.8738,0.4914,0.8517,0,0.3259,0.4011,0.274,0.1975,0,0,0.873,1.1291,0.912,0.6459,0,0.7235,0,0,0,1.1256,0.8217,0.9188,0,0.6816,0.7405,0.8529,0.5236,0.4473,0.5377,1.0459,1.0622,1.1979,0,0,1.362,0,0,0,0.7224,0,1.1373,2.0049,0,1.0549,0,0.9524,0.8938,0.6352,0.6372
RING1_E3 ubiquitin-protein ligase RING1,0.4711,0,0,0,0,0.2771,0.4319,0.193,0.0995,0.1636,0.1909,0.2205,0.1028,0.3925,0.335,0.2193,0.2,0,0.5262,1.0343,0.4758,0,0.3515,0,0,0,0.402,0.5393,0.5395,0,0.2707,0.2937,0.2782,0.7192,0.4944,0.4735,0.9281,0.234,0.3684,0.4132,0,0,0.2503,0.4882,0.4714,0,0.297,0,0.4092,0.4858,0,0.5826,0.3276,0.256
RINT1_RAD50-interacting protein 1,6.756,6.159,5.1701,5.9509,5.3922,6.0631,9.0666,6.8251,5.5006,6.3204,1.1764,0.0081,0.0012,11.0442,14.7439,9.4737,8.0431,9.3945,10.5599,22.0323,6.4796,6.1631,12.6488,18.4343,13.4893,6.449,7.5162,16.5406,8.0152,7.0672,7.1499,10.8469,4.6012,0.4525,14.7706,11.4795,16.226,13.1498,13.3698,13.185,17.0931,0,7.209,13.8189,14.1781,4.4013,11.1556,10.2626,15.664,12.654,12.1567,9.468,11.6801,4.279
RIPK1_Receptor-interacting serine/threonine-protein kinase 1,1.5556,1.8429,1.6244,0,1.6942,2.0179,0,1.248,0.8202,1.2004,0.7632,0.8668,0.2564,0,0,1.4505,0,1.5359,0.9403,2.3848,1.0888,1.7326,1.4664,1.522,2.1933,1.2485,0.7313,2.1966,1.5614,1.2695,1.1954,1.251,0.7165,0.1301,2.4155,1.4155,1.5963,1.6429,2.5405,1.6394,3.9439,0,0,0.9512,1.1366,2.3157,1.9893,0,1.8506,3.6629,1.5795,1.456,1.6742,1.0928
"RIPOR1;GN=;GN=;GN=_Rho family-interacting cell polarization regulator 1;Isoform of Q6ZS17, Isoform 2 of Rho family-interacting cell polarization regulator 1;Isoform of Q6ZS17, Isoform 3 of Rho family-interacting cell polarization regulator 1;Isoform of Q6ZS17, Isoform 4 of Rho family-interacting cell polarization regulator 1",5.1688,3.6242,2.5328,2.6265,3.4544,4.1295,3.4068,3.5482,2.8921,3.487,0.8121,0.521,0.0087,2.9143,3.9968,3.339,2.9808,2.9341,3.4671,6.3659,2.6782,4.1343,3.569,3.8728,5.0791,3.3265,3.5457,4.6521,3.6611,3.1416,3.2893,3.7193,0.9019,0.012,4.6709,4.0534,4.9913,3.6143,6.044,4.4013,5.3508,4.6464,3.4832,3.3464,4.0171,4.856,4.7895,2.5238,5.6131,4.7112,5.0678,4.3417,4.4735,0.8652
RMC1_Regulator of MON1-CCZ1 complex,0.543,0.3554,0,0,0,0,0,0,0.1981,0.1218,0.2021,0.0424,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2456,0.0136,0.0579,0.3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMDN1_Regulator of microtubule dynamics protein 1,5.9881,15.5528,5.4026,6.7512,6.2011,5.4487,7.6656,7.8688,5.8736,7.4169,3.1768,0.6885,0.064,4.5044,15.7041,12.4371,6.9395,8.4037,4.6287,13.3279,2.6512,8.3985,7.2169,11.9104,8.2147,5.6116,5.8776,10.089,4.3874,8.775,4.699,7.9876,3.5657,0.025,11.4156,13.4717,10.5466,11.1281,15.4285,10.6851,20.3761,7.1783,3.9699,8.2314,10.1582,14.3674,6.4105,4.7169,7.1236,17.9982,14.4018,5.7234,10.7406,4.6057
RMDN3_Regulator of microtubule dynamics protein 3,0.9164,1.5119,0,0.5283,1.2231,0.4041,0.7284,0.452,0,0.6405,0.5132,0.8674,0.7416,0.4609,0.7811,0.7766,0,0.9338,0.7603,1.1791,0.3738,0.3242,0.6152,0,0.6032,0.4855,0.6337,1.6171,0.6128,0.4157,0.4218,0.6108,0.3847,0.4409,1.2912,0.8777,0.6033,0.5419,0.4669,0.6375,0.9537,0,0.5962,0.672,0.79,0,0.4647,0.6502,1.0191,1.2309,1.0361,0.7009,0.6962,0.3508
RMND1_Required for meiotic nuclear division protein 1 homolog,1.5973,0,1.4381,1.9297,0,2.2014,0,0,0,0.7963,0.9671,0.0107,0.0017,1.7552,4.3273,2.501,0,2.3376,1.4968,4.2146,1.9389,3.438,2.7596,3.2796,3.5644,0,1.2411,2.8415,1.1733,0,2.8126,2.2045,1.3635,0.8961,2.2161,2.0741,2.9148,2.075,3.5639,2.868,3.6934,0,1.7473,2.8449,2.6529,2.0122,0,1.2597,3.155,2.9589,2.4542,1.9727,2.248,1.0309
RMND5A_E3 ubiquitin-protein transferase RMND5A,0.6254,0.4204,0.4907,0.3591,0,0.4395,0.2783,0.4629,0.3226,0.3777,0.1743,0.0009,0,0.7724,0.6373,0.541,0.5553,0.7375,0.8577,1.1191,0.8719,0.5909,0.5584,0.457,0.8697,0.5769,0.8346,1.5369,0.8159,0.5149,0.5581,0.7448,0.2626,0.1255,1,0.733,1.1087,0.4588,1.4214,0.8758,0.9643,0.3069,0.8256,0.6771,0.6967,0.8452,0.6183,1.1098,0.9663,1.2628,0.8674,0.9738,0.8729,0.2719
RNASE1_Ribonuclease pancreatic,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.4903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3313,0,0,0,0,0,0,0,1.3226,0,0,0,0,0,0,0,0,0,0,0.0735,0.3117
RNASE4_Ribonuclease 4,77.0172,65.4048,27.8934,14.1377,80.2174,19.3684,74.0875,27.6062,24.9176,45.6278,27.6862,0.1508,0.0081,20.2458,6.7222,17.101,5.5071,18.466,37.9543,21.3187,88.5826,86.7364,16.4645,9.7326,13.0044,19.6377,23.8561,20.905,37.6541,35.2327,61.2493,30.0206,24.8514,0.0234,10.2282,12.7945,7.688,27.8497,7.0149,18.827,19.4591,53.6563,62.2551,14.7392,6.7115,16.8803,20.483,5.6255,30.2344,14.6936,22.4087,38.2258,21.6541,15.8886
RNF11_RING finger protein 11,3.8921,3.8345,2.4508,2.5804,3.073,3.1203,3.1926,3.0277,2.2362,3.0453,0.5693,0.7578,0.0733,2.3897,3.1032,3.5598,2.6603,2.2734,3.0758,4.0379,3.6682,2.9923,2.492,2.9291,3.5309,2.6031,3.106,4.6382,2.9377,3.819,2.4177,3.1241,0.6418,0.0838,3.8168,2.8829,3.5262,3.2101,4.6443,4.1028,4.1335,2.7222,3.04,2.8377,2.2621,3.5146,4.0438,2.9306,3.5359,5.0936,3.8754,3.9406,3.5619,0.7217
RNF113A_E3 ubiquitin-protein ligase RNF113A,1.8348,1.6376,1.6696,0.9488,0,1.3517,1.0492,1.7931,1.1684,1.2726,0.5776,0.4273,0.2083,1.5909,1.3897,0,1.9029,1.3079,1.783,2.695,0.9316,0,1.5608,1.6107,2.4204,1.4444,1.4737,2.4995,2.0133,1.2455,1.0755,1.4969,0.7246,0.4432,1.8989,2.2533,2.9765,1.354,0,3.2492,2.3525,0,1.5743,2.3522,2.0404,0,2.3383,1.4258,1.7762,2.4879,1.3971,1.4951,1.7206,0.9513
RNF114_E3 ubiquitin-protein ligase RNF114,51.9503,44.8549,48.2171,42.2746,55.6504,70.3871,46.6278,65.5853,50.4669,52.8905,9.4868,0.1002,0.3447,28.1537,43.9655,46.9159,39.5299,41.9733,32.8141,54.6337,37.4497,47.5118,43.9793,43.3738,57.3178,42.7554,43.2812,76.5508,45.1556,58.593,36.0165,45.5539,10.9842,0.4494,56.9112,35.8941,52.1329,41.9682,36.5194,66.2034,67.069,55.0327,39.3799,33.3713,34.5316,57.6075,49.158,34.4952,48.5737,64.8528,63.0981,33.3547,48.3419,12.4288
"RNF121;GN=_RING finger protein 121;Isoform of Q9H920, Isoform 2 of RING finger protein 121",0,0,0,0,1.0821,0,2.4863,0,0,0.3965,0.8615,0.3167,0.3062,0,0,2.2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1242,0.5268,0.9864,0,2.1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1211,0.5138
RNF123_E3 ubiquitin-protein ligase RNF123,28.47,26.4429,35.6616,35.5533,22.2417,43.181,36.9271,45.9945,35.6867,34.4621,7.6548,0.0059,0.0009,48.7232,54.5648,52.2421,50.4575,38.8573,58.4333,86.0123,27.381,24.3894,58.796,59.4877,69.1337,49.3504,48.9891,77.2414,57.3472,47.9012,25.2698,51.921,16.3922,0.1213,70.3879,45.5851,79.7833,45.5848,50.0523,76.0817,71.2069,22.2188,29.7697,55.3443,52.8222,44.6148,61.9718,68.7478,75.9279,79.3649,70.9114,38.0765,57.6918,17.5937
RNF126_E3 ubiquitin-protein ligase RNF126,14.073,9.6897,13.3475,11.3078,11.7969,14.8386,10.4147,15.1812,12.0728,12.5247,1.9426,0.1205,0.0173,11.8069,13.7503,15.5282,12.9576,13.7048,15.6049,27.5779,8.8889,11.311,13.8181,16.1149,18.0796,16.3264,12.5516,20.024,17.8654,17.1849,7.7179,15.0452,4.4623,0.0564,19.4759,14.2372,19.3247,15.0772,17.6207,22.268,25.0912,12.2693,9.9558,12.6349,13.7346,16.1057,19.7013,11.98,17.2545,23.8687,19.5576,9.3898,16.6415,4.6073
RNF13_E3 ubiquitin-protein ligase RNF13,0,0,0,0,0,0,0,0,0.1941,0.0216,0.0647,0.0005,0.001,0.5865,0.4697,0.6036,0,0.5671,0.8111,0.6564,0,0,0.4428,0,0.4781,0.5635,0.4652,0.6004,0.9148,0.8893,0,0.4471,0.315,0.9448,0.4044,0.5697,1.0135,0.4891,0,0.7288,0.658,0,0,0.5873,0.5016,0,0.4954,0.2268,0.8455,0.7882,0.8263,0,0.4519,0.3391
RNF14_E3 ubiquitin-protein ligase RNF14,14.7805,14.5952,12.9718,10.7939,9.189,13.4213,13.5159,16.0438,14.181,13.2769,2.1071,0.2692,0.1074,10.6178,15.0665,14.4884,12.4001,13.0189,16.446,21.4615,9.666,11.5931,14.6706,14.1068,19.1377,14.1283,14.0605,18.804,19.8249,14.8438,9.9015,14.6798,3.3924,0.0664,17.2543,18.5705,18.8197,14.0871,14.9425,21.4576,20.6644,7.2916,9.9443,12.0191,13.1225,19.6101,19.5972,11.027,23.6974,20.6742,19.183,8.5774,16.1411,4.8855
RNF141_RING finger protein 141,12.5109,8.5077,8.3062,5.7185,9.9671,8.5171,9.4612,8.1247,9.4953,8.9565,1.8095,0.3949,0.8043,6.2551,8.5273,8.8068,7.3287,6.2976,8.0921,11.7777,9.0688,9.0992,7.077,7.0295,10.3822,7.9175,7.5928,11.5571,6.4597,10.4796,6.0131,8.3201,1.7966,0.5769,9.6917,6.5211,9.2963,7.3624,12.6947,13.8096,11.0821,7.7183,6.2514,5.3061,5.1513,9.1134,10.0045,5.1246,9.4886,11.0695,8.6979,8.5774,8.72,2.5157
"RNF146;GN=_E3 ubiquitin-protein ligase RNF146;Isoform of Q9NTX7, Isoform 2 of E3 ubiquitin-protein ligase RNF146",9.1409,4.4178,2.9957,2.7815,5.2574,3.8203,3.34,4.1087,3.4499,4.368,1.9443,0.661,0.8773,3.1896,4.3885,3.6823,3.3754,3.7842,3.8147,4.5359,3.5055,4.4689,3.841,3.1567,4.7369,3.9327,4.4957,6.2524,4.9171,4.1643,4.2796,4.1401,0.7407,0.2734,4.3511,5.1159,4.5784,3.568,7.1371,5.4611,5.2726,3.4532,3.209,3.1454,3.7164,5.6128,5.0303,2.4692,6.7004,4.5617,3.4867,3.4967,4.4648,1.271
